;Q4pop.1;Q4pop.3;Q4pop.4
SBCC001;0.525;0.449;0.025
SBCC002;0.79;0.12;0.09
SBCC003;0.075;0.767;0.158
SBCC004;0.526;0.149;0.199
SBCC005;0.026;0.805;0.168
SBCC006;0.04;0.88;0.08
SBCC007;0;0.771;0.229
SBCC008;0;0.999;0
SBCC009;0.011;0.001;0.987
SBCC010;0.363;0.117;0.431
SBCC011;0;0.999;0
SBCC012;0.004;0.001;0.996
SBCC013;0.031;0.282;0.688
SBCC014;0;0.009;0.991
SBCC015;0;0.738;0.262
SBCC016;0.362;0.035;0.603
SBCC017;0.752;0.052;0.196
SBCC018;0;0.001;0.999
SBCC019;0;0.999;0.001
SBCC020;0.116;0.459;0.425
SBCC021;0;0.001;0.999
SBCC022;0.001;0.998;0.001
SBCC024;0.686;0.194;0.12
SBCC025;0;0.38;0.62
SBCC026;0.4;0.158;0.443
SBCC028;0;0.528;0.472
SBCC029;0.999;0.001;0
SBCC033;0.999;0;0
SBCC034;0.004;0.048;0.948
SBCC036;0.003;0.143;0.853
SBCC037;0.15;0.446;0.403
SBCC039;0.334;0.012;0.654
SBCC040;0.773;0.11;0.117
SBCC041;0.116;0.186;0.697
SBCC042;0.017;0.207;0.775
SBCC043;0;0.998;0.002
SBCC044;0.001;0.999;0
SBCC046;0.75;0.102;0.148
SBCC047;0.001;0.213;0.786
SBCC048;0;0.754;0.246
SBCC049;0.008;0.269;0.723
SBCC050;0;0.665;0.335
SBCC051;0;0.855;0.145
SBCC052;0;0.202;0.797
SBCC053;0;0.019;0.981
SBCC054;0;0.501;0.499
SBCC055;0;0.645;0.355
SBCC056;0;0.683;0.316
SBCC057;0.142;0.002;0.856
SBCC058;0.003;0.002;0.995
SBCC059;0;0.865;0.134
SBCC060;0.009;0.861;0.13
SBCC062;0;1;0
SBCC063;0.046;0.014;0.939
SBCC064;0;0.014;0.986
SBCC065;0;0.045;0.955
SBCC066;0.004;0.075;0.921
SBCC067;0;1;0
SBCC068;0.415;0.108;0.477
SBCC069;0.032;0.105;0.859
SBCC070;0.331;0.004;0.665
SBCC071;0;0.919;0.08
SBCC072;0;0.001;0.999
SBCC073;0;0.001;0.998
SBCC074;0.129;0.003;0.868
SBCC075;0;0.001;0.999
SBCC076;0.001;0.299;0.7
SBCC078;0;0.382;0.617
SBCC079;0;0.999;0.001
SBCC081;0;0.102;0.898
SBCC082;0;0.004;0.996
SBCC083;0;0.834;0.166
SBCC084;0;0.914;0.086
SBCC086;0.23;0.536;0.233
SBCC087;0;1;0
SBCC089;0;0.001;0.999
SBCC090;0.882;0.061;0.009
SBCC091;0;0.001;0.999
SBCC092;0;0.079;0.921
SBCC093;0.964;0.001;0
SBCC094;0.013;0.023;0.964
SBCC095;0;1;0
SBCC096;0;1;0
SBCC097;0.002;0.001;0.997
SBCC098;0;0.685;0.315
SBCC099;0;0.021;0.965
SBCC100;0.002;0.024;0.974
SBCC101;0.365;0.039;0.596
SBCC103;0.999;0.001;0
SBCC104;0.001;0.893;0.106
SBCC105;0;0.844;0.156
SBCC106;0;0.773;0.226
SBCC107;0.536;0.003;0.461
SBCC108;0.061;0.865;0.074
SBCC109;0;0.007;0.971
SBCC110;0;0.758;0.241
SBCC111;0;0.001;0.999
SBCC112;0.021;0.958;0.021
SBCC113;0.001;0.65;0.349
SBCC114;0.313;0.058;0.629
SBCC115;0.302;0.208;0.27
SBCC116;0.126;0.134;0.709
SBCC117;0;0.001;0.999
SBCC118;0;0.896;0.104
SBCC119;0.008;0.577;0.413
SBCC121;0.14;0.001;0.859
SBCC122;0.034;0.004;0.962
SBCC123;0.03;0.004;0.931
SBCC125;0.025;0.307;0.667
SBCC126;0.002;0.035;0.963
SBCC127;0;0.834;0.166
SBCC128;0;0.225;0.774
SBCC129;0.057;0.844;0.098
SBCC131;0.623;0.002;0.375
SBCC132;0.001;0.752;0.247
SBCC134;0.006;0.008;0.986
SBCC135;0.107;0.001;0.891
SBCC136;0.215;0.002;0.783
SBCC139;0.117;0.044;0.839
SBCC140;0.335;0.004;0.661
SBCC141;0;0.001;0.999
SBCC146;0;0.999;0
SBCC147;0.068;0.019;0.001
SBCC148;0;0;0
SBCC149;0;0.71;0.29
SBCC150;0.001;0.764;0.235
SBCC151;0;0;0
SBCC152;0.095;0.001;0
SBCC153;0.158;0.058;0
SBCC154;0.014;0.645;0.001
SBCC155;0.312;0.083;0.104
SBCC156;0.003;0.001;0.003
SBCC157;0.128;0.032;0.09
SBCC158;0.066;0.001;0.131
SBCC159;0;0;0
