;SBCC001;SBCC002;SBCC003;SBCC004;SBCC005;SBCC006;SBCC007;SBCC008;SBCC009;SBCC010;SBCC011;SBCC012;SBCC013;SBCC014;SBCC015;SBCC016;SBCC017;SBCC018;SBCC019;SBCC020;SBCC021;SBCC022;SBCC024;SBCC025;SBCC026;SBCC028;SBCC029;SBCC033;SBCC034;SBCC036;SBCC037;SBCC039;SBCC040;SBCC041;SBCC042;SBCC043;SBCC044;SBCC046;SBCC047;SBCC048;SBCC049;SBCC050;SBCC051;SBCC052;SBCC053;SBCC054;SBCC055;SBCC056;SBCC057;SBCC058;SBCC059;SBCC060;SBCC062;SBCC063;SBCC064;SBCC065;SBCC066;SBCC067;SBCC068;SBCC069;SBCC070;SBCC071;SBCC072;SBCC073;SBCC074;SBCC075;SBCC076;SBCC078;SBCC079;SBCC081;SBCC082;SBCC083;SBCC084;SBCC086;SBCC087;SBCC089;SBCC090;SBCC091;SBCC092;SBCC093;SBCC094;SBCC095;SBCC096;SBCC097;SBCC098;SBCC099;SBCC100;SBCC101;SBCC103;SBCC104;SBCC105;SBCC106;SBCC107;SBCC108;SBCC109;SBCC110;SBCC111;SBCC112;SBCC113;SBCC114;SBCC115;SBCC116;SBCC117;SBCC118;SBCC119;SBCC121;SBCC122;SBCC123;SBCC125;SBCC126;SBCC127;SBCC128;SBCC129;SBCC131;SBCC132;SBCC134;SBCC135;SBCC136;SBCC139;SBCC140;SBCC141;SBCC146;SBCC147;SBCC148;SBCC149;SBCC150;SBCC151;SBCC152;SBCC153;SBCC154;SBCC155;SBCC156;SBCC157;SBCC158;SBCC159
SBCC001;0.5;0.223959676;0.210704922;0.194814792;0.186393699;0.207317392;0.196025625;0.210857926;0.131836012;0.1617798;0.211696832;0.138751139;0.196699772;0.107879363;0.207017758;0.171982417;0.219752397;0.111141472;0.22199669;0.189024729;0.219823024;0.233129843;0.209429362;0.164268377;0.213967736;0.185252801;0.207096054;0.221716303;0.142823932;0.162516985;0.198583802;0.167435656;0.231346432;0.210857926;0.15190005;0.223890109;0.221926646;0.242997895;0.144130051;0.221856567;0.154836649;0.18276736;0.214995794;0.152176564;0.143408552;0.164324123;0.17393477;0.178329442;0.173338796;0.150491095;0.225766814;0.229197606;0.143767929;0.149012478;0.137168697;0.149100933;0.150770589;0.226670383;0.205591589;0.133089117;0.178033676;0.22482972;0.14418374;0.151045217;0.172656948;0.122354708;0.167293375;0.172905061;0.223819479;0.12776692;0.154294907;0.217898576;0.239003115;0.194913596;0.258065796;0.143692765;0.228168721;0.151613442;0.138119064;0.200391395;0.140559644;0.220600705;0.223072682;0.137346502;0.172947805;0.130372935;0.148844857;0.190886018;0.229470661;0.215981888;0.205662404;0.190519593;0.205817709;0.239932501;0.117242099;0.195420514;0.20693954;0.292700122;0.191960589;0.191353428;0.124071711;0.139247406;0.127541896;0.223976934;0.176277616;0.164974461;0.163109782;0.119412124;0.157793934;0.171055404;0.198507821;0.15909682;0.199863858;0.18547875;0.205061999;0.135226104;0.174469111;0.198507821;0.173051545;0.170935073;0.151134475;0.218693278;0.028658401;0.081662651;0.196852607;0.183884056;0.084512529;0.045364648;0.135812318;0.185851478;0.154036199;0.082913549;0.109588997;0.089488427;0.101676788
SBCC002;0.223959676;0.5;0.180764634;0.190605576;0.167679368;0.173011679;0.187454227;0.187454227;0.139205998;0.185930648;0.179684796;0.138120623;0.166525193;0.118660157;0.17729931;0.167118701;0.199714629;0.105212866;0.18347193;0.171514704;0.17360652;0.164746463;0.295670481;0.126411865;0.202500938;0.115370339;0.228162717;0.259650651;0.127109916;0.129590802;0.155774511;0.173421141;0.275463506;0.180684282;0.129590802;0.149228584;0.17729931;0.225785439;0.135233843;0.164718965;0.141192939;0.138393946;0.152338022;0.136045099;0.128407256;0.164436416;0.17403749;0.17775064;0.157633616;0.143683976;0.167737758;0.157740441;0.12810438;0.137851327;0.1358617;0.119207607;0.145029241;0.17075503;0.193690115;0.132102546;0.159485922;0.169495723;0.128148042;0.132573377;0.150567862;0.109783428;0.137577525;0.128882189;0.173728708;0.128146944;0.141373471;0.167519553;0.146229588;0.179633114;0.158364391;0.121793026;0.238718846;0.1390093;0.133358191;0.222813836;0.131888387;0.165736932;0.170874998;0.12844592;0.162205985;0.110621133;0.1204747;0.181024942;0.253325668;0.166383428;0.173688673;0.174715167;0.212439172;0.161417552;0.120110493;0.182183942;0.172725099;0.162205985;0.164436416;0.187826983;0.144901835;0.150456628;0.120917941;0.170506231;0.142728483;0.142954319;0.139296832;0.113365671;0.14977878;0.151950558;0.178410468;0.13075921;0.167344536;0.214687857;0.153881599;0.136948213;0.14047013;0.178636303;0.154558934;0.160880731;0.139748275;0.167512036;0.02642328;0.060183532;0.146519924;0.170649106;0.076677932;0.050130397;0.109982358;0.151849592;0.164408676;0.072149791;0.100045603;0.068888976;0.060860867
SBCC003;0.210704922;0.180764634;0.5;0.147648533;0.243838194;0.237232763;0.250991391;0.284878201;0.20911805;0.17200446;0.284887285;0.201746635;0.243934883;0.184746249;0.295199441;0.219272966;0.174283685;0.18572801;0.284201718;0.286682158;0.278508647;0.275181936;0.212277357;0.250903614;0.257556536;0.282513856;0.131582083;0.142682657;0.212609988;0.220697255;0.261081093;0.2156733;0.216636311;0.5;0.229270361;0.315678237;0.257983481;0.179152173;0.253472455;0.308184905;0.251730503;0.280708992;0.301790292;0.238454476;0.203778641;0.259787891;0.25728814;0.242871545;0.211076311;0.223941817;0.312519725;0.299131184;0.203625623;0.191290529;0.216267909;0.227239888;0.225052995;0.281215262;0.235998481;0.186529496;0.227161498;0.33867229;0.216838054;0.224342693;0.221365023;0.20402181;0.247741919;0.247586273;0.276254729;0.223253763;0.217064402;0.312593676;0.320868135;0.251606658;0.32540909;0.207577254;0.170986916;0.210081443;0.213657271;0.135283587;0.207538396;0.280432737;0.297702487;0.210857926;0.241192694;0.215232275;0.199637852;0.20927668;0.144262708;0.291763786;0.280087506;0.248708558;0.212882084;0.335122017;0.174447609;0.262885958;0.237139469;0.327235961;0.261592301;0.22363016;0.160960415;0.193767271;0.217016318;0.320822134;0.279244244;0.223265279;0.224306984;0.189989299;0.230126762;0.229155198;0.231842701;0.233874196;0.230714093;0.202423005;0.284490099;0.215436664;0.233648474;0.231842701;0.236489818;0.243644767;0.216410703;0.276873656;0.06706591;0.02836053;0.2809346;0.22619966;0.046185266;0.051037279;0.069548848;0.25115434;0.136270878;0.053071169;0.113564566;0.091238024;0.057134158
SBCC004;0.194814792;0.190605576;0.147648533;0.5;0.14042544;0.163590073;0.154558934;0.162912738;0.124115304;0.183737699;0.158730742;0.125507841;0.155062541;0.114853722;0.163815851;0.12537627;0.176522305;0.116079912;0.16254616;0.128236472;0.147559801;0.155323068;0.179087974;0.127580143;0.157567757;0.118112431;0.198885637;0.191953643;0.125788892;0.107498169;0.126242503;0.126543731;0.181120492;0.147559801;0.112466547;0.145076238;0.151623814;0.177778812;0.117886595;0.154158972;0.128594409;0.122177467;0.136813894;0.095201096;0.13545211;0.139883333;0.150368515;0.165622079;0.119953489;0.120744512;0.147696861;0.159463082;0.135593542;0.128407256;0.121891743;0.115402406;0.131077973;0.157042497;0.162713829;0.118116591;0.117181131;0.143318595;0.119803313;0.11491444;0.140195269;0.104583101;0.12722192;0.13209084;0.145227233;0.106893673;0.117537541;0.156802647;0.141282657;0.162721386;0.148280622;0.103874499;0.192897662;0.124270024;0.124234917;0.172169655;0.134188287;0.153219178;0.15127254;0.12192714;0.158870756;0.124582653;0.131464411;0.127938547;0.201445901;0.156504439;0.154558934;0.15940876;0.147293339;0.150043365;0.106143157;0.156730275;0.163533756;0.15127254;0.14620513;0.126016668;0.162967116;0.149376105;0.098363588;0.14706739;0.119049693;0.123568676;0.13414674;0.127750732;0.130612867;0.134815987;0.16085029;0.154749662;0.15271612;0.159977617;0.1409218;0.12072692;0.12537627;0.161076239;0.134958131;0.114853722;0.122629137;0.150494922;0.072160087;0.062672613;0.132791728;0.147882448;0.078724572;0.086287348;0.098262369;0.118467997;0.114885553;0.061884552;0.113175014;0.089017253;0.062220828
SBCC005;0.186393699;0.167679368;0.243838194;0.14042544;0.5;0.326325517;0.348880645;0.230240674;0.162405432;0.179233011;0.237645413;0.187296813;0.21475967;0.169401042;0.237909417;0.165931985;0.119433329;0.17083788;0.241357754;0.214974892;0.237166642;0.237975335;0.166551328;0.183524964;0.194968615;0.1938499;0.12810438;0.136496656;0.210120783;0.187984091;0.219343607;0.176748197;0.159106263;0.24377375;0.200618141;0.264690822;0.234075046;0.143993821;0.189112131;0.237166642;0.193926918;0.208965638;0.252632481;0.244773091;0.170363427;0.281891916;0.328859916;0.341663004;0.161868995;0.17366707;0.238811622;0.249422366;0.170244034;0.191741859;0.177136781;0.190240171;0.177461675;0.234751699;0.189103041;0.172743122;0.160562977;0.256878689;0.173831843;0.184444925;0.16975757;0.153821364;0.212511605;0.199184357;0.238208975;0.17934031;0.179490555;0.233923711;0.245749849;0.220269464;0.263428182;0.161942959;0.129265064;0.194858446;0.19420153;0.105185943;0.185118323;0.240223918;0.252546792;0.174263382;0.318880053;0.180572816;0.171530291;0.140966763;0.140651162;0.320190398;0.352715017;0.336310606;0.154558934;0.23964833;0.164069639;0.354934035;0.326638295;0.258417032;0.223769179;0.181441458;0.162543655;0.168699548;0.188356886;0.244483113;0.214236414;0.169769252;0.180990242;0.170173912;0.19286393;0.205436512;0.346999253;0.216042187;0.352189544;0.143990524;0.216790653;0.176622316;0.175186572;0.346999253;0.190465779;0.173914338;0.178959769;0.242581235;0.051942561;0.045059727;0.243032451;0.319828777;0.039295895;0.034274796;0.066163023;0.211374698;0.122498391;0.049459623;0.10160132;0.075203715;0.046073798
SBCC006;0.207317392;0.173011679;0.237232763;0.163590073;0.326325517;0.5;0.290688416;0.277099264;0.150357192;0.170114206;0.279133032;0.166215359;0.20543327;0.156677398;0.243934883;0.152075371;0.136045099;0.144352247;0.284598531;0.200693457;0.275463506;0.272701496;0.17631518;0.182993309;0.178845288;0.19497794;0.135551319;0.135050081;0.193297812;0.182489601;0.22040129;0.154523713;0.169852371;0.237166642;0.187905557;0.258764309;0.2809346;0.159182754;0.185648908;0.240485459;0.177154905;0.211374698;0.253923558;0.222136671;0.158762793;0.238971506;0.287994012;0.291763786;0.146656687;0.142098335;0.238003146;0.255748943;0.158655046;0.177218066;0.170814984;0.173688673;0.17083788;0.276873656;0.176974089;0.19391054;0.149838904;0.259755483;0.154592222;0.170986916;0.154731404;0.140101101;0.207469542;0.185986865;0.279198746;0.179944811;0.152693753;0.238831248;0.249542202;0.214666039;0.257236728;0.147323329;0.152305547;0.177963377;0.177492482;0.126073396;0.174653218;0.285628259;0.261803709;0.150682577;0.288166446;0.17325641;0.15720188;0.163476871;0.145438507;0.304799932;0.327678825;0.294715671;0.162150323;0.243870431;0.137356637;0.321544046;0.499774505;0.2494855;0.217087527;0.159923119;0.144675658;0.17403749;0.164803377;0.23945164;0.210551996;0.149140251;0.158117801;0.167067198;0.189624055;0.199487599;0.335407492;0.203627497;0.412420007;0.152024851;0.226651104;0.15419446;0.158848725;0.335181714;0.178572396;0.147648533;0.15947179;0.283587439;0.03376745;0.058037045;0.235972163;0.309394968;0.056799414;0.041749957;0.098340094;0.200918838;0.143631825;0.065150658;0.084793385;0.056799414;0.054990627
SBCC007;0.196025625;0.187454227;0.250991391;0.154558934;0.348880645;0.290688416;0.5;0.241453194;0.178346674;0.189093937;0.24864526;0.209801581;0.225522496;0.189632756;0.261757917;0.185942142;0.120692163;0.182489601;0.253021353;0.212422123;0.24612708;0.246769623;0.180152448;0.203403482;0.210486146;0.20257377;0.123947761;0.128275021;0.220685978;0.205281748;0.210472038;0.192108869;0.164210751;0.250928732;0.224011928;0.272304199;0.23852029;0.139068209;0.208892385;0.261863678;0.199941316;0.219949961;0.264809187;0.260960792;0.200994002;0.301690539;0.331752668;0.333952488;0.195650616;0.203258746;0.264180265;0.267213685;0.200843749;0.211527754;0.205359091;0.224688922;0.195654764;0.252507988;0.202048128;0.205665822;0.188091797;0.269305893;0.206426024;0.211801772;0.187333815;0.188575519;0.214472202;0.212230037;0.246135174;0.198933075;0.197522069;0.249006654;0.246819834;0.238174976;0.263595354;0.187518931;0.149130255;0.215916881;0.209995014;0.120883106;0.211003553;0.254619197;0.270551289;0.190301731;0.318382635;0.206043829;0.198657865;0.164691426;0.137985941;0.309087564;0.350233953;0.340108575;0.168022042;0.248158063;0.198963133;0.353769198;0.290290071;0.256036375;0.238745898;0.214082676;0.154627454;0.196852607;0.211076311;0.256385026;0.219583135;0.188199927;0.193547177;0.196922585;0.198433852;0.231120483;0.322989676;0.240580533;0.296122038;0.145480571;0.235002804;0.196630127;0.191586604;0.322989676;0.212882084;0.184215437;0.198737468;0.241388119;0.046411045;0.035013438;0.270273215;0.30103906;0.038953927;0.031211595;0.076213803;0.201896775;0.128049186;0.045056374;0.095856531;0.057251199;0.044604817
SBCC008;0.210857926;0.187454227;0.284878201;0.162912738;0.230240674;0.277099264;0.241453194;0.5;0.179023839;0.16356168;0.420545986;0.157181945;0.221755279;0.151034357;0.264013998;0.163449047;0.171943877;0.149091208;0.393792068;0.21896311;0.392384968;0.372112426;0.198210178;0.209954357;0.196925778;0.219724296;0.142998258;0.144398903;0.179943252;0.175268327;0.217693313;0.175844628;0.174365668;0.284824083;0.195352496;0.312021207;0.360834863;0.171387085;0.208965638;0.268861049;0.205655585;0.231007537;0.281440814;0.203176054;0.153116909;0.232203265;0.243676883;0.228819145;0.176911003;0.188081904;0.258087315;0.260207495;0.153014846;0.17225219;0.172395434;0.18429492;0.195429156;0.369631362;0.188946378;0.19323235;0.169162049;0.287328231;0.166278091;0.170533418;0.178956807;0.150552711;0.22531503;0.209062758;0.341928949;0.171708938;0.184390542;0.267774625;0.278409993;0.237944497;0.281081577;0.139147952;0.174078977;0.161827456;0.17992857;0.13992958;0.182409664;0.383410226;0.367886323;0.172373698;0.2494855;0.174243048;0.163618082;0.182993309;0.149140251;0.269596221;0.26830055;0.249548602;0.175556332;0.281611424;0.149316873;0.241388119;0.276534903;0.282013983;0.23852029;0.188582551;0.138477673;0.174941059;0.15419446;0.289853161;0.22319559;0.171040763;0.174816997;0.161412769;0.201370452;0.209881261;0.276535584;0.191135047;0.260674817;0.177073645;0.24967471;0.185344045;0.188199927;0.27647931;0.204830418;0.167512036;0.19602949;0.375689974;0.015027837;0.057811323;0.232812855;0.261863678;0.060976088;0.025547162;0.10782279;0.20866672;0.149051873;0.072601348;0.089083176;0.056799414;0.07531069
SBCC009;0.131836012;0.139205998;0.20911805;0.124115304;0.162405432;0.150357192;0.178346674;0.179023839;0.5;0.182381321;0.178926224;0.275858419;0.243289875;0.236742299;0.218976568;0.238868564;0.162516985;0.263609937;0.186551568;0.228299559;0.168866366;0.166241734;0.142050977;0.261789538;0.200240307;0.238548527;0.102504206;0.09361985;0.266349383;0.264287273;0.221459506;0.246809309;0.152526928;0.209044816;0.258868589;0.192263939;0.16254616;0.150418276;0.276761306;0.226287561;0.268409606;0.237645413;0.20911805;0.253839473;0.239932501;0.226425382;0.204232531;0.203401776;0.29765153;0.305192765;0.201370281;0.189989299;0.239517237;0.241644365;0.2812812;0.269989657;0.293516691;0.167286314;0.201445901;0.243935053;0.24500286;0.203330387;0.266969754;0.270186821;0.27665124;0.264551911;0.270377771;0.265502977;0.181351808;0.241876771;0.308460831;0.20619585;0.206516391;0.181164509;0.190995895;0.25172359;0.129664329;0.278757537;0.250152271;0.110855906;0.294038165;0.167009029;0.195420514;0.3359609;0.214102244;0.315665602;0.291969479;0.233404365;0.091360928;0.186393699;0.193018581;0.182993309;0.200843294;0.199037294;0.256220637;0.197682623;0.150081941;0.187659527;0.214687857;0.248708558;0.153007783;0.221700754;0.257513918;0.20257485;0.237353493;0.269364017;0.280317544;0.270882522;0.253263502;0.332713293;0.159128602;0.225001818;0.14986702;0.199113065;0.221319183;0.301540721;0.271848832;0.159128602;0.263384159;0.253161967;0.323667011;0.170137649;0.018623625;0.013776501;0.22771116;0.16898446;0.037817462;0;0.046408371;0.147019355;0.099844013;0.046634263;0.083107952;0.081436645;0.045053018
SBCC010;0.1617798;0.185930648;0.17200446;0.183737699;0.179233011;0.170114206;0.189093937;0.16356168;0.182381321;0.5;0.155758339;0.168424261;0.204761569;0.140559644;0.186913348;0.158192567;0.153445242;0.152628576;0.151674158;0.159128602;0.153984613;0.165227692;0.170935073;0.170972379;0.206878721;0.129575951;0.159775009;0.164353072;0.166536268;0.161894828;0.176214834;0.169924233;0.177796478;0.171921799;0.166188944;0.159042697;0.148874984;0.14368106;0.182913398;0.177407932;0.176666732;0.136899677;0.166131261;0.162261703;0.147615961;0.163787629;0.191268156;0.19361292;0.173338796;0.179538731;0.183445207;0.172021055;0.147971187;0.187354709;0.174078691;0.150594521;0.1990357;0.154297764;0.207174429;0.161976384;0.156788518;0.171794707;0.161095663;0.165348504;0.183458122;0.143876575;0.171816919;0.157415143;0.141101234;0.147605673;0.169709954;0.188387153;0.162594782;0.32598777;0.158840821;0.152472516;0.174120397;0.16631982;0.180583916;0.143362325;0.197075423;0.162910971;0.182221069;0.166304485;0.184629459;0.172761219;0.190050683;0.14245967;0.161638946;0.17522919;0.187286343;0.183125778;0.15010391;0.171921799;0.144944368;0.192935073;0.169602889;0.167209422;0.180507868;0.168901018;0.191635523;0.159377174;0.140333581;0.176422092;0.145895874;0.179668563;0.192257225;0.173584621;0.183045819;0.183045819;0.165116085;0.186145257;0.160141442;0.145711695;0.176811232;0.186077484;0.177860058;0.165116085;0.185546204;0.165736932;0.178167269;0.169436359;0.051603779;0.054655659;0.152038272;0.152591859;0.079762809;0.032768905;0.089818081;0.150054295;0.124414461;0.065506689;0.147930955;0.125129852;0.065054563
