"RDA1"	"RDA2"	"RDA3"	"PC1"	"PC2"	"PC3"
"verna_30d"	-0.584530813146711	-0.182398656130246	0.33722734161784	0	0	0
"verna_jan_feb"	-0.596341847897628	-0.291093122051705	0.245116059485733	0	0	0
"verna_mar_apr"	-0.568410786449314	-0.13706480829153	0.354160616177419	0	0	0
"pfrost_01"	0.723636836971868	0.47822550664035	0.0767784212711635	0	0	0
"pcp_aut"	-0.265765060079629	-0.00938085242564498	0.500375311124324	0	0	0
"pcp_win"	-0.218817665460092	-0.261578659676306	0.177441453234384	0	0	0
"pcp_mar_apr"	-0.157090829684904	0.0693512389669603	0.334068418267788	0	0	0
"pcp_may_jun"	0.291712646354632	0.601800809724708	0.421559670471318	0	0	0
"frost_jan_feb"	0.642960164196368	0.518972951037962	0.17934294060094	0	0	0
"frost_apr_may"	0.402229307909357	0.556201383040377	0.431367214910972	0	0	0
"tamp_win"	-0.0558419188652986	-0.372265455180594	0.0937296356827251	0	0	0
"tamp_spr"	0.295881164621937	-0.149293682181514	-0.24097984406874	0	0	0
"et0_spr"	-0.389541226786404	-0.544968876586821	-0.146435078727583	0	0	0
"bal_aut"	-0.0610039672738292	0.189499869299201	0.441713015414657	0	0	0
"bal_win"	-0.0686152179080829	-0.248131894936524	0.0752538709894555	0	0	0
"bal_jun"	0.236112440193365	0.734134038837185	0.297368282748885	0	0	0
"bal_mar_apr_may"	0.220775501234251	0.448907555011458	0.340569944304366	0	0	0
