"RDA1"	"RDA2"
"SBCC001"	0.260091944759145	0.470850944606406
"SBCC002"	0.0764833459413268	0.894841426188056
"SBCC003"	0.339862187318992	-0.218559849263701
"SBCC004"	0.0432447653024721	0.659909861959052
"SBCC005"	0.352399241371802	-0.292815545712459
"SBCC006"	0.430731808515744	-0.283611768982876
"SBCC007"	0.306262449730261	-0.326985070312315
"SBCC008"	0.525363232819666	-0.356014489170315
"SBCC009"	-0.425982567227827	-0.210393195223348
"SBCC010"	-0.0895795457114043	0.385737537476631
"SBCC011"	0.525363232819666	-0.356014489170315
"SBCC012"	-0.43048633916322	-0.221710724940731
"SBCC013"	-0.147600027899969	-0.219410475028175
"SBCC014"	-0.424307898546388	-0.227882902755707
"SBCC015"	0.274623576379697	-0.322693244158289
"SBCC016"	-0.218695229099843	0.289557123658585
"SBCC017"	-0.00773570234597571	0.848452181334952
"SBCC018"	-0.431977928449555	-0.226842460051701
"SBCC019"	0.524858301970518	-0.356637687376498
"SBCC020"	0.0650303674357712	-0.11951473865864
"SBCC021"	-0.431977928449555	-0.226842460051701
"SBCC022"	0.524398678266493	-0.355068898709209
"SBCC024"	0.09546474619976	0.73502792360582
"SBCC025"	-0.0686102617870225	-0.276133433154003
"SBCC026"	-0.082306508900707	0.327608985391254
"SBCC028"	0.0732852914215655	-0.295381623178121
"SBCC029"	0.0666529753874388	1.21045213590717
"SBCC033"	0.0661991524986916	1.21120538945135
"SBCC034"	-0.384919982632966	-0.227200127620585
"SBCC037"	0.0700987736671737	-0.0677227465384413
"SBCC039"	-0.254722206019832	0.252263863212535
"SBCC040"	0.0583537451632726	0.871122371645957
"SBCC041"	-0.196204472160651	-0.0833864331782393
"SBCC042"	-0.225484517018054	-0.228552194875784
"SBCC043"	0.523899548232622	-0.356507632038497
"SBCC044"	0.525357432004388	-0.35519895404721
"SBCC046"	0.0392037244810758	0.839071947776336
"SBCC047"	-0.228223005981761	-0.252975458378582
"SBCC048"	0.289963636186031	-0.324774129566302
"SBCC049"	-0.171038886422497	-0.250187424001609
"SBCC050"	0.204634553513299	-0.313199204484231
"SBCC051"	0.386797763713513	-0.337909718704383
"SBCC052"	-0.238763496283338	-0.252360384783678
"SBCC053"	-0.41472036116743	-0.229183456135715
"SBCC054"	0.0473989404983771	-0.2918701290521
"SBCC055"	0.185459478755382	-0.310598097724215
"SBCC056"	0.222397051644573	-0.314917002362062
"SBCC057"	-0.360142709901996	-0.0226723826307832
"SBCC058"	-0.429521784610047	-0.222656315401837
"SBCC059"	0.39689023194162	-0.338587073878208
"SBCC060"	0.397042456445726	-0.325741450768794
"SBCC062"	0.525817055708414	-0.356767742714498
"SBCC063"	-0.39599236462641	-0.161167106768064
"SBCC064"	-0.419514129856909	-0.228533179445711
"SBCC065"	-0.389792763982137	-0.232564894923736
"SBCC066"	-0.359033631709778	-0.230711621746607
"SBCC067"	0.525817055708414	-0.356767742714498
"SBCC068"	-0.122252314438289	0.356315950436799
"SBCC069"	-0.313991391111469	-0.189030249220789
"SBCC070"	-0.263889626024611	0.248988105928677
"SBCC071"	0.448662933787997	-0.345610062130251
"SBCC072"	-0.431977928449555	-0.226842460051701
"SBCC073"	-0.431472997600406	-0.226219261845518
"SBCC074"	-0.365672646604422	-0.04150597124953
"SBCC075"	-0.431977928449555	-0.226842460051701
"SBCC076"	-0.145770184522717	-0.26416021744665
"SBCC078"	-0.0661878234620822	-0.275770345623822
"SBCC079"	0.524858301970518	-0.356637687376498
"SBCC081"	-0.335143800922073	-0.239978049189781
"SBCC082"	-0.429101667235867	-0.227232626065703
"SBCC083"	0.3666639352177	-0.335178556606366
"SBCC084"	0.443364234249369	-0.34558298364643
"SBCC086"	0.196317012787471	0.0356709393845392
"SBCC087"	0.525817055708414	-0.356767742714498
"SBCC089"	-0.431977928449555	-0.226842460051701
"SBCC090"	0.0927456019753907	1.09116531355919
"SBCC091"	-0.431977928449555	-0.226842460051701
"SBCC092"	-0.357195136893678	-0.236986776415763
"SBCC093"	0.0688458527373376	1.20154835294578
"SBCC094"	-0.404396655775525	-0.211000144206972
"SBCC095"	0.525817055708414	-0.356767742714498
"SBCC096"	0.525817055708414	-0.356767742714498
"SBCC097"	-0.430979668381813	-0.223964993393124
"SBCC098"	0.223809628271216	-0.315800311244247
"SBCC099"	-0.404937882277486	-0.212862813386239
"SBCC100"	-0.408928332410208	-0.226956266167143
"SBCC101"	-0.213362824046647	0.293353102294446
"SBCC103"	0.0666529753874388	1.21045213590717
"SBCC104"	0.423729535787427	-0.341413088219125
"SBCC105"	0.376251472596659	-0.336479109986374
"SBCC106"	0.308684888055201	-0.326621982782134
"SBCC107"	-0.16252672281898	0.54405849377075
"SBCC108"	0.426832233158595	-0.251447538997813
"SBCC109"	-0.413866165228513	-0.201567322411097
"SBCC110"	0.294303581986763	-0.324671152712122
"SBCC111"	-0.431977928449555	-0.226842460051701
"SBCC112"	0.496031129428075	-0.321092018603414
"SBCC113"	0.190752377478732	-0.309809641084931
"SBCC114"	-0.22110126478791	0.216067917749447
"SBCC115"	0.0408137734605579	0.441288247113237
"SBCC116"	-0.224101150372764	-0.0255837537491612
"SBCC117"	-0.431977928449555	-0.226842460051701
"SBCC118"	0.426106666967244	-0.343241987562415
"SBCC119"	0.125380832194309	-0.287875789045073
"SBCC121"	-0.362099723707634	-0.0254197939513586
"SBCC122"	-0.412131246084258	-0.178315692869906
"SBCC123"	-0.394465337684363	-0.142618742623364
"SBCC125"	-0.1256161029575	-0.230047862041558
"SBCC126"	-0.398382041293354	-0.228386874885151
"SBCC127"	0.3666639352177	-0.335178556606366
"SBCC128"	-0.216655307488442	-0.254790516233488
"SBCC129"	0.405206815376446	-0.253848112010766
"SBCC131"	-0.12006116361011	0.66935834875682
"SBCC132"	0.28854525874411	-0.323075285561012
"SBCC134"	-0.422271872081059	-0.219120447441977
"SBCC135"	-0.378066083976224	-0.072274795611685
"SBCC136"	-0.323706217429423	0.0823551504072522
"SBCC139"	-0.332353303757142	-0.0641030400590206
"SBCC140"	-0.261893105889128	0.254743039245829
"SBCC141"	-0.431977928449555	-0.226842460051701
"SBCC146"	0.525363232819666	-0.356014489170315
"SBCC147"	0.131624043223813	0.949329203296927
"SBCC148"	0.128846990251949	0.957627125677571
"SBCC149"	0.247778471718613	-0.319051694694267
"SBCC150"	0.30005030359886	-0.324635949617022
"SBCC151"	0.128790137428658	0.957065984353363
"SBCC152"	0.123291864653394	0.980480141704383
"SBCC153"	0.141915126331304	0.92102530221233
"SBCC154"	0.38351060068226	0.11278075054306
"SBCC155"	0.0838220685177549	0.804731905696165
"SBCC156"	0.127370648384381	0.953522893614696
"SBCC157"	0.0829698360902372	0.841538338412612
"SBCC158"	0.0514583062590297	0.817393101730908
"SBCC159"	0.128846990251949	0.957627125677571
