SNPidentifier	variable	BF	rho_Spearman	chr	bp	order	allele1	allele2	missing	MAF
3255550|F|0	lat	109.64	-0.224	1	533885798	739	A	G	2	0.338
SCRI_RS_126437	verna_mar_apr	55.516	-0.127	7	638089424	7994	C	T	0	0.059
SCRI_RS_126437	verna_30d	53.272	-0.125	7	638089424	7994	C	T	0	0.059
BOPA1_4025-300	lon	30.308	0.186	3	624282766	3182	A	T	0	0.326
SCRI_RS_224392	lat	23.223	0.183	1	533870832	740	C	T	0	0.274
3256787|F|0	lon	22.667	0.163	3	623329370	3180	A	C	2	0.481
3260897|F|0	lon	22.364	-0.175	3	623103760	3166	G	T	4	0.412
SCRI_RS_167825	lon	20.189	-0.172	3	623131871	3177	A	C	0	0.407
SCRI_RS_163092	lon	20.183	0.16	3	623376840	3195	C	T	3	0.417
3259096|F|0	lon	20.103	0.155	3	623329179	3181	C	T	8	0.472
SCRI_RS_144592	lon	19.952	-0.158	2	114309480	1263	C	T	0	0.333
SCRI_RS_107010	lon	19.336	-0.154	4	609237624	4226	C	T	0	0.23
3254663|F|0	frost_jan_feb	17.382	-0.161	6	396127161	6823	A	T	3	0.318
BOPA1_ABC03113-1-1-251	lon	15.952	-0.17	5	606531898	5448	A	G	0	0.193
3262086|F|0	lat	15.171	-0.177	7	48012672	7262	C	T	12	0.301
BOPA2_12_30894	lat	14.908	-0.198	7	39680435	7229	A	T	0	0.422
BOPA1_5004-375	lon	14.892	-0.169	5	547431548	5107	A	G	0	0.467
3262943|F|0	lon	14.524	0.142	2	114710854	1256	A	T	3	0.341
BOPA1_5595-297	frost_jan_feb	14.28	-0.14	7	647003062	8092	A	T	0	0.496
3256603|F|0	bal_jun	14.074	0.132	5	529391447	5041	A	T	3	0.182
SCRI_RS_142964	lat	13.542	-0.171	3	624132689	8310	A	G	0	0.467
3255549|F|0	lon	13.367	0.143	2	116318352	1314	A	T	5	0.415
SCRI_RS_168538	lon	13.316	-0.175	3	531627125	2825	A	G	0	0.393
3257645|F|0	lat	12.43	0.142	7	169768646	7467	A	G	12	0.171
SCRI_RS_69605	lon	12.259	0.177	3	532173969	2836	C	T	3	0.356
3261758|F|0	pcp_may_jun	12.131	-0.126	2	46833552	1109	A	G	4	0.374
BOPA2_12_30895	lat	12.109	0.182	7	39680321	7230	C	G	0	0.43
BOPA1_6841-637	frost_jan_feb	11.886	-0.138	4	599525616	4198	A	C	0	0.252
3259142|F|0	lat	11.884	0.136	7	646827624	8082	A	G	6	0.403
BOPA1_1283-332	tamp_spr	11.637	-0.145	2	751886907	2209	A	C	0	0.378
3256968|F|0	lat	11.54	-0.149	6	24080358	6037	G	T	6	0.496
BOPA1_946-2500	bal_jun	11.402	0.14	2	115322557	1260	A	G	3	0.333
BOPA2_12_31529	lon	10.46	-0.183	3	541045115	2882	A	G	0	0.459
BOPA1_946-2500	lon	10.438	0.148	2	115322557	1260	A	G	3	0.333
